"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","group","rt","stimulus","response","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","name","place_id","lat","lng","culture","loc1","loc2","loct","address","loc_id_prev","angle","loc_id"
"pavlovia-init","pavlovia","0","1532","0.0-0.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"consent","html-button-response","1","4357","0.0-1.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","2824","
        <div style=""font-size: 80%; max-width:700px"">
            <h2>Informed Consent</h2><br>
        
            <div style=""text-align: left"">
            <h3>Streetscape Perceptions</h3>
            <b>HUM00189138</b>
            <br><hr>
        
            <h4>DESCRIPTION</h4>
            <p>
                In this study, you will view Google Street View images. You will then answer questions about your impressions of the streetscapes presented in those images.
            </p><br>
        
            <h4>TIME INVOLVEMENT</h4>
            <p>Your participation will take approximately 30 minutes.</p><br>
        
            <h4>RISKS AND BENEFITS</h4>
            <p>
                The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none.  We cannot and do not guarantee or promise that you will receive any benefits from this study. 
            </p><br>
        
            <h4>PAYMENTS</h4>
            <p>You will be paid <b>$5.00</b> for your participation.</p><br>
        
            <h4>SUBJECT'S RIGHTS</h4>
            <p>
                If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  
            </p>
        
            <p>
                Your individual privacy will be maintained in all published and written data resulting from the study. Your responses will be kept confidential: you are given a participant code, and no one, not even the research team, can match that code with your identity. Your collected information may also be shared with other researchers as part of our dataset.
            </p><br>
        
            <h4>CONTACT INFORMATION</h4>
            <p>
                Questions: If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783.
            </p>
        
            <p>
                If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:
                <br><br>
        
                University of Michigan<br>
                Health Sciences and Behavioral Sciences Institutional Review Board
                (IRB-HSBS)<br>
                2800 Plymouth Road <br>
                Building 520, Room 1169 <br>
                Ann Arbor, MI 48109-2800 <br>
                Telephone: 734-936-0933 or toll free (866) 936-0933 <br>
                Fax: 734-936-1852 <br />
                E-mail: irbhsbs@umich.edu <br>
            </p>
        
            <p>
                You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
            </p>
            <br>
        
            <div class=""alert alert-warning""><b>
                Do you consent to participate in this study? If you consent to participate in this study, please click “Accept and continue.”
            </b></div>
            </div>
        </div>
    ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","2","4772","0.0-2.0-0.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","","","","2560","1297","true","chrome","100.0.4896","false","Windows 10","true","145.7","true","true","","","","","","","","","","","","","","","","","",""
"","preload","3","6149","0.0-2.0-1.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","",""
"instructions","html-button-response","4","12418","0.0-2.0-2.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","6268","
        <div class=""text-container"">
            <h1>Welcome to the study!</h1>
            
            <div class=""text-left"">
                <p>
                    In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
                </p>
            </div>
            
            <img src='
            https://maps.googleapis.com/maps/api/streetview?size=640x320
            &location=37.783631,-122.432766
            &heading=80
            &pitch=2
            &fov=100
            &radius=150
            &key=AIzaSyC2OxRDg6qlzZDj7j0UAD2XyE0qWokLvvs
            &source=outdoor'>
        
            <br>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","5","32386","0.0-2.0-3.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","19666","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            
            <hr>
                Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
                
                <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
                <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
                Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
                Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?
                
                <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
                <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
                Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            
            <p>
                There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","6","37063","0.0-2.0-4.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","4676","
        <div class=""text-container text-left"">
            <p>Please make sure you are doing this study in an area where you can focus and complete the survey in one sitting.</p>

            <p>Don’t spend too much time on any one picture, and, again go with your gut impression!</p>
            
            <p>The study should take about 30 minutes. We’ll let you know when you’re halfway through.</p>
        </div>
            
        <h3>Ready? Click next to get started!</h3>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"trial","survey","7","60306","0.0-2.0-5.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","23211","","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Yonehara Shiritsu Yonehara Elementary School","ChIJaQYSoWQrAmARNFmF-erxUY4","35.31424","136.280753","JP","HIK","HIK","SCH","307 Irie, Maibara, Shiga 521-0003, Japan","jp_hik_sch_a_1","0","jp_hik_sch_a_1_0"
"trial","survey","8","77946","0.0-2.0-6.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","17630","","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":3,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Toshima Minami-Nagasaki Post Office (jp_tok-c_pos_a_4)","ChIJW9I5jqnyGGAR4LJcH4_S0to","35.725497","139.6854672","JP","TOK","CTR","POS","4-chōme-29-3 Minaminagasaki, Toshima City, Tokyo 171-0052, Japan","jp_tok-c_pos_b_4","0","jp_tok-c_pos_b_4_0"
"trial","survey","9","99615","0.0-2.0-7.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","21660","","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":1,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of 3rd Haketa Elementary School (jp_tok-p_sch_a_1)","ChIJj82HZcOPGGARdlxKpMVK0K8","35.7349985","139.787222","JP","TOK","PER","SCH","Japan, 〒116-0002 Tokyo, Arakawa City, Arakawa, 1-chōme−26−１ ＮＴＴ ビル 本館1階","jp_tok-p_sch_b_1","0","jp_tok-p_sch_b_1_0"
"trial","survey","10","123077","0.0-2.0-8.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","23453","","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Mandarin Oriental New York (us_nyc-c_htl_a_ultra1)","ChIJDTV9gfVYwokR4yg_rfSKw3M","40.7700712","-73.9843251","US","NYC","CTR","HTL","77 Columbus Ave, New York, NY 10023, USA","us_nyc-c_htl_b_ultra1","180","us_nyc-c_htl_b_ultra1_180"
"trial","survey","11","146441","0.0-2.0-9.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","23357","","{""P0_Q0"":null,""ambiguous"":5,""objects"":1,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Comfort Inn JFK Airport (us_nyc-p_htl_a_low2)","ChIJ8dO9l21nwokRghi6bJiuq5c","40.6671742","-73.806723","US","NYC","PER","HTL","133-38 135th Ave, Queens, NY 11420, USA","us_nyc-p_htl_b_low2","90","us_nyc-p_htl_b_low2_90"
"trial","survey","12","172016","0.0-2.0-10.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","25567","","{""P0_Q0"":null,""ambiguous"":5,""objects"":3,""invisible"":2,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Minami-Ikebukuro Post Office","ChIJZ0rDTmiNGGARmRNW8DDznoU","35.7271243","139.7133376","JP","TOK","CTR","POS","2-chōme-24-1 Minamiikebukuro, Toshima City, Tokyo 171-0022, Japan","jp_tok-c_pos_a_6","180","jp_tok-c_pos_a_6_180"
"trial","survey","13","183319","0.0-2.0-11.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","11294","","{""P0_Q0"":null,""ambiguous"":1,""objects"":3,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJHz5qxfxEwokRJQRRKHqw9JQ","40.6054665","-73.9794117","US","NYC","PER","POS","1714 W 6th St Ste 1, Brooklyn, NY 11223, USA","us_nyc-p_pos_a_6","180","us_nyc-p_pos_a_6_180"
"trial","survey","14","202794","0.0-2.0-12.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","19467","","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Hotel JAL City Tokyo Toyosu","NKTYOHJC","35.68408","139.80885","JP","TOK","PER","HTL","6 4 20 TOYOSU KOTO KU, TOKYO 1350061","jp_tok-p_htl_a_mid1","0","jp_tok-p_htl_a_mid1_0"
"trial","survey","15","213357","0.0-2.0-13.0","60ea823910936e7bff37d86b","626166b218b78fee4e9d8d4c","62618305da7b73e00e798893","11","10554","","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":3,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Tokyo Marriott Hotel","MCTYOMCM","35.62207","139.73696","JP","TOK","PER","HTL","4-7-36 KITASHINAGAWA SHINAGAWA, TOKYO 140-0001","jp_tok-p_htl_a_high1","180","jp_tok-p_htl_a_high1_180"
