"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","group","rt","stimulus","response","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","name","place_id","lat","lng","culture","loc1","loc2","loct","address","loc_id_prev","angle","loc_id"
"pavlovia-init","pavlovia","0","993","0.0-0.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"consent","html-button-response","1","5448","0.0-1.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","4454","
        <div style=""font-size: 80%; max-width:700px"">
            <h2>Informed Consent</h2><br>
        
            <div style=""text-align: left"">
            <h3>Streetscape Perceptions</h3>
            <b>HUM00189138</b>
            <br><hr>
        
            <h4>DESCRIPTION</h4>
            <p>
                In this study, you will view Google Street View images. You will then answer questions about your impressions of the streetscapes presented in those images.
            </p><br>
        
            <h4>TIME INVOLVEMENT</h4>
            <p>Your participation will take approximately 30 minutes.</p><br>
        
            <h4>RISKS AND BENEFITS</h4>
            <p>
                The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none.  We cannot and do not guarantee or promise that you will receive any benefits from this study. 
            </p><br>
        
            <h4>PAYMENTS</h4>
            <p>You will be paid <b>$5.00</b> for your participation.</p><br>
        
            <h4>SUBJECT'S RIGHTS</h4>
            <p>
                If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  
            </p>
        
            <p>
                Your individual privacy will be maintained in all published and written data resulting from the study. Your responses will be kept confidential: you are given a participant code, and no one, not even the research team, can match that code with your identity. Your collected information may also be shared with other researchers as part of our dataset.
            </p><br>
        
            <h4>CONTACT INFORMATION</h4>
            <p>
                Questions: If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783.
            </p>
        
            <p>
                If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:
                <br><br>
        
                University of Michigan<br>
                Health Sciences and Behavioral Sciences Institutional Review Board
                (IRB-HSBS)<br>
                2800 Plymouth Road <br>
                Building 520, Room 1169 <br>
                Ann Arbor, MI 48109-2800 <br>
                Telephone: 734-936-0933 or toll free (866) 936-0933 <br>
                Fax: 734-936-1852 <br />
                E-mail: irbhsbs@umich.edu <br>
            </p>
        
            <p>
                You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
            </p>
            <br>
        
            <div class=""alert alert-warning""><b>
                Do you consent to participate in this study? If you consent to participate in this study, please click “Accept and continue.”
            </b></div>
            </div>
        </div>
    ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","2","6443","0.0-2.0-0.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","","","","1278","640","true","chrome","100.0.4896","false","Windows 10","true","60.47","false","true","","","","","","","","","","","","","","","","","",""
"","preload","3","7290","0.0-2.0-1.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","",""
"instructions","html-button-response","4","13452","0.0-2.0-2.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","6162","
        <div class=""text-container"">
            <h1>Welcome to the study!</h1>
            
            <div class=""text-left"">
                <p>
                    In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
                </p>
            </div>
            
            <img src='
            https://maps.googleapis.com/maps/api/streetview?size=640x320
            &location=37.783631,-122.432766
            &heading=80
            &pitch=2
            &fov=100
            &radius=150
            &key=AIzaSyC2OxRDg6qlzZDj7j0UAD2XyE0qWokLvvs
            &source=outdoor'>
        
            <br>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","5","30837","0.0-2.0-3.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","17084","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            
            <hr>
                Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
                
                <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
                <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
                Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
                Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?
                
                <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
                <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
                Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            
            <p>
                There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","6","33753","0.0-2.0-4.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","2915","
        <div class=""text-container text-left"">
            <p>Please make sure you are doing this study in an area where you can focus and complete the survey in one sitting.</p>

            <p>Don’t spend too much time on any one picture, and, again go with your gut impression!</p>
            
            <p>The study should take about 30 minutes. We’ll let you know when you’re halfway through.</p>
        </div>
            
        <h3>Ready? Click next to get started!</h3>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"trial","survey","7","52377","0.0-2.0-5.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","18591","","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":4,""chaos"":5}","","","","","","","","","","","","","","","","","[]","Nearby location of 豊島区立朝日小学校 ひいらぎ学級 (jp_tok-c_sch_a_2)","ChIJsX5PhoGNGGARkg3BIt6IYKg","35.7421166","139.7340459","JP","TOK","CTR","SCH","4-chōme-57-10 Nishigahara, Kita City, Tokyo 114-0024, Japan","jp_tok-c_sch_b_2","180","jp_tok-c_sch_b_2_180"
"trial","survey","8","63772","0.0-2.0-6.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","11383","","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Red Roof PLUS Ann Arbor-Univ North (us_arb_htl_a_low1)","ChIJDRKdQxqsPIgRu07gYIBr9Ds","42.3074995","-83.6914727","US","ARB","ARB","HTL","2310 Green Rd, Ann Arbor, MI 48105, USA","us_arb_htl_b_low1","270","us_arb_htl_b_low1_270"
"trial","survey","9","74436","0.0-2.0-7.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","10653","","{""P0_Q0"":null,""ambiguous"":1,""objects"":3,""invisible"":2,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of INTERCONTINENTAL THE STRINGS (jp_tok-c_htl_a_mid2)","ChIJAb1kM0WKGGARue_1-lZ6ilo","35.6290559","139.7422638","JP","TOK","CTR","HTL","2-chōme-2-2-14 Kōnan, Minato City, Tokyo 108-0075, Japan","jp_tok-c_htl_b_mid2","0","jp_tok-c_htl_b_mid2_0"
"trial","survey","10","88427","0.0-2.0-8.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","13983","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":2,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Yotsuya Station Post Office (jp_tok-c_pos_a_3)","ChIJ5QGWpIuMGGARM3syjI6N6t8","35.6864179","139.7285004","JP","TOK","CTR","POS","1-chōme-8-3 Yotsuya, Shinjuku City, Tokyo 160-0004, Japan","jp_tok-c_pos_b_3","90","jp_tok-c_pos_b_3_90"
"trial","survey","11","104557","0.0-2.0-9.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","16121","","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":4,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of MyStays Asakusa (jp_tok-p_htl_a_low1)","ChIJo6zX0s6OGGAROOChcY8yK98","35.7053797","139.7984784","JP","TOK","PER","HTL","1-chōme-7-4 Higashikomagata, Sumida City, Tokyo 130-0005, Japan","jp_tok-p_htl_b_low1","0","jp_tok-p_htl_b_low1_0"
"trial","survey","12","112964","0.0-2.0-10.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","8400","","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Torahime Post Office","ChIJAzu1m54oAmARzqXxALkD3FY","35.4195711","136.2622481","JP","TOR","TOR","POS","160-5 Gomura, Nagahama, Shiga 529-0141, Japan","jp_tor_pos_a_1","180","jp_tor_pos_a_1_180"
"trial","survey","13","121157","0.0-2.0-11.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","8186","","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Mandarin Oriental New York (us_nyc-c_htl_a_ultra1)","ChIJDTV9gfVYwokR4yg_rfSKw3M","40.7700712","-73.9843251","US","NYC","CTR","HTL","77 Columbus Ave, New York, NY 10023, USA","us_nyc-c_htl_b_ultra1","0","us_nyc-c_htl_b_ultra1_0"
"trial","survey","14","139314","0.0-2.0-12.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","18149","","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":2,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Math, Language and Art Elementary Math Algebra I & II Geometry PreCalculus Calculus College Math Data Analysis (us_nyc-p_sch_a_2)","ChIJrTWRtBpgwokRN4EStLSswiQ","40.7637342","-73.8299598","US","NYC","PER","SCH","137-35 Northern Blvd, Queens, NY 11354, USA","us_nyc-p_sch_b_2","270","us_nyc-p_sch_b_2_270"
"trial","survey","15","148676","0.0-2.0-13.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","9355","","{""P0_Q0"":null,""ambiguous"":1,""objects"":1,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Courtyard by Marriott New York Manhattan Fifth Avenue","CYNYCESC","40.75211","-73.98141","US","NYC","CTR","HTL","3 EAST 40TH ST, NEW YORK, NY 10016","us_nyc-c_htl_a_mid2","180","us_nyc-c_htl_a_mid2_180"
"trial","survey","16","176562","0.0-2.0-14.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","27878","","{""P0_Q0"":null,""ambiguous"":3,""objects"":1,""invisible"":2,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Nihonbashi Elementary School (jp_tok-c_sch_a_7)","ChIJNS-5qVqJGGARajMXSGlTOSk","35.6833699","139.7826794","JP","TOK","CTR","SCH","1-chōme-15-9 Nihonbashikakigarachō, Chuo City, Tokyo 103-0014, Japan","jp_tok-c_sch_b_7","180","jp_tok-c_sch_b_7_180"
"trial","survey","17","187427","0.0-2.0-15.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","10856","","{""P0_Q0"":null,""ambiguous"":3,""objects"":2,""invisible"":3,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Bronx Charter School for Excellence 3","ChIJg2kj5avzwokRaKO_rPdPfu8","40.8883786","-73.8632703","US","NYC","PER","SCH","3956 Carpenter Ave, Bronx, NY 10466, USA","us_nyc-p_sch_a_6","180","us_nyc-p_sch_a_6_180"
"trial","survey","18","203565","0.0-2.0-16.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","16131","","{""P0_Q0"":null,""ambiguous"":3,""objects"":4,""invisible"":4,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_arb_pos_a_4)","ChIJR4RkkESuPIgRZJrbYhGLI8k","42.2762108","-83.7323861","US","ARB","ARB","POS","1315 Washtenaw Ave, Ann Arbor, MI 48104, USA","us_arb_pos_b_4","270","us_arb_pos_b_4_270"
"trial","survey","19","216213","0.0-2.0-17.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","12641","","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":4,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of HOTEL K5 (jp_tok-c_htl_a_mid1)","ChIJb-Z94FCJGGARIe-5JBrSwok","35.6841632","139.7792313","JP","TOK","CTR","HTL","19-12 Nihonbashikoamichō, Chuo City, Tokyo 103-0016, Japan","jp_tok-c_htl_b_mid1","270","jp_tok-c_htl_b_mid1_270"
"trial","survey","20","226142","0.0-2.0-18.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","9921","","{""P0_Q0"":null,""ambiguous"":2,""objects"":1,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","須賀谷温泉","ChIJ_4AJx3YmAmARdbO9N7D3Ofo","35.454895","136.281751","JP","TOR","TOR","HTL","36 Sugatanichō, Nagahama, Shiga 526-0277, Japan","jp_tor_htl_a_high1","0","jp_tor_htl_a_high1_0"
"trial","survey","21","238153","0.0-2.0-19.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","12003","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":2,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Sasazuka Elementary School","ChIJ93VkemvzGGARQtwBVOaMyuk","35.6759768","139.6693391","JP","TOK","CTR","SCH","2-chōme-8-1 Sasazuka, Shibuya City, Tokyo 151-0073, Japan","jp_tok-c_sch_a_6","0","jp_tok-c_sch_a_6_0"
"trial","survey","22","253126","0.0-2.0-20.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","14966","","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":2,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Torahime Post Office (jp_tor_pos_a_1)","ChIJgxpx9J4oAmARIkc4T1H6KS0","35.420504","136.263204","JP","TOR","TOR","POS","171-3 Gomura, Nagahama, Shiga 529-0141, Japan","jp_tor_pos_b_1","0","jp_tor_pos_b_1_0"
"trial","survey","23","264977","0.0-2.0-21.0","5f53fbbab9922d75c72061d8","626166b218b78fee4e9d8d4c","62618c9f6c04dc9fdcb1092b","14","11842","","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":3,""chaos"":3}","","","","","","","","","","","","","","","","","[]","P.S. 020 John Bowne","ChIJReGEShFgwokRiwUXE2jYFz4","40.7583819","-73.8243949","US","NYC","PER","SCH","142-30 Barclay Ave, Queens, NY 11355, USA","us_nyc-p_sch_a_5","270","us_nyc-p_sch_a_5_270"
