"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","group","rt","stimulus","response","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","name","place_id","lat","lng","culture","loc1","loc2","loct","address","loc_id_prev","angle","loc_id"
"pavlovia-init","pavlovia","0","1618","0.0-0.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"consent","html-button-response","1","15169","0.0-1.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","13544","
        <div style=""font-size: 80%; max-width:700px"">
            <h2>Informed Consent</h2><br>
        
            <div style=""text-align: left"">
            <h3>Streetscape Perceptions</h3>
            <b>HUM00189138</b>
            <br><hr>
        
            <h4>DESCRIPTION</h4>
            <p>
                In this study, you will view Google Street View images. You will then answer questions about your impressions of the streetscapes presented in those images.
            </p><br>
        
            <h4>TIME INVOLVEMENT</h4>
            <p>Your participation will take approximately 30 minutes.</p><br>
        
            <h4>RISKS AND BENEFITS</h4>
            <p>
                The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none.  We cannot and do not guarantee or promise that you will receive any benefits from this study. 
            </p><br>
        
            <h4>PAYMENTS</h4>
            <p>You will be paid <b>$5.00</b> for your participation.</p><br>
        
            <h4>SUBJECT'S RIGHTS</h4>
            <p>
                If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  
            </p>
        
            <p>
                Your individual privacy will be maintained in all published and written data resulting from the study. Your responses will be kept confidential: you are given a participant code, and no one, not even the research team, can match that code with your identity. Your collected information may also be shared with other researchers as part of our dataset.
            </p><br>
        
            <h4>CONTACT INFORMATION</h4>
            <p>
                Questions: If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783.
            </p>
        
            <p>
                If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:
                <br><br>
        
                University of Michigan<br>
                Health Sciences and Behavioral Sciences Institutional Review Board
                (IRB-HSBS)<br>
                2800 Plymouth Road <br>
                Building 520, Room 1169 <br>
                Ann Arbor, MI 48109-2800 <br>
                Telephone: 734-936-0933 or toll free (866) 936-0933 <br>
                Fax: 734-936-1852 <br />
                E-mail: irbhsbs@umich.edu <br>
            </p>
        
            <p>
                You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
            </p>
            <br>
        
            <div class=""alert alert-warning""><b>
                Do you consent to participate in this study? If you consent to participate in this study, please click “Accept and continue.”
            </b></div>
            </div>
        </div>
    ","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","2","16152","0.0-2.0-0.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","","","","1504","892","true","chrome","100.0.4896","false","Windows 10","true","61.48","true","true","","","","","","","","","","","","","","","","","",""
"","preload","3","22752","0.0-2.0-1.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","",""
"instructions","html-button-response","4","33121","0.0-2.0-2.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","10366","
        <div class=""text-container"">
            <h1>Welcome to the study!</h1>
            
            <div class=""text-left"">
                <p>
                    In this study, we are interested in how people think about different Google Street View images. Google Street View takes pictures of streets used for Google Earth and Google Maps. You’ll see Google Street View images of different places and answer some questions about each one.
                </p>
            </div>
            
            <img src='
            https://maps.googleapis.com/maps/api/streetview?size=640x320
            &location=37.783631,-122.432766
            &heading=80
            &pitch=2
            &fov=100
            &radius=150
            &key=AIzaSyC2OxRDg6qlzZDj7j0UAD2XyE0qWokLvvs
            &source=outdoor'>
        
            <br>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","5","55488","0.0-2.0-3.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","22048","
        <style>
            img.small {
            max-width: 100px;
            }
            li {
            text-indent: 40px;
            }
        </style>

        <div class=""text-container text-left"">
            <p>For each picture, we’d like your impressions of the scene:</p>
            
            <hr>
                Are there <b>clear, distinct boundaries</b> between objects in the scene, or are the <b>boundaries ambiguous or unclear</b>?
                
                <li>clear, distinct boundaries: <img class=""small"" src=""assets/img/ambiguous-low.png""></li>
                <li>ambiguous or unclear boundaries: <img class=""small"" src=""assets/img/ambiguous-high.png""></li>
            <hr>
            <br>
                Are there <b>only a few different objects</b> in the scene, or is there <b>a large number</b>?
            <br><br>
            <hr>
                Are only <b>a few parts</b> of the scene <b>invisible or obscured</b>, or are <b>many parts invisible or obscured</b>?
                
                <li>a few parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-low.png""></li>
                <li>many parts invisible or obscured: <img class=""small"" src=""assets/img/invisible-high.png""></li>
            <hr>
            <br>
                Does the scene look <b>organized</b> or <b>chaotic</b> to you?
            <br><br>
            <hr>
            
            <p>
                There are no right or wrong answers: we are interested in <b>your</b> impression. Note that some images might have individual buildings or faces blurred for privacy. Please ignore these when making your judgments.
            </p>
        </div>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","html-button-response","6","63336","0.0-2.0-4.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","7842","
        <div class=""text-container text-left"">
            <p>Please make sure you are doing this study in an area where you can focus and complete the survey in one sitting.</p>

            <p>Don’t spend too much time on any one picture, and, again go with your gut impression!</p>
            
            <p>The study should take about 30 minutes. We’ll let you know when you’re halfway through.</p>
        </div>
            
        <h3>Ready? Click next to get started!</h3>
        <br>
    ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"trial","survey","7","91792","0.0-2.0-5.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","28276","","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Manually Updated Days Inn by Wyndham Ann Arbor","DIARB238","42.252588","-83.680721","US","ARB","ARB","HTL","2380 CARPENTER ROAD, ANN ARBOR, MI 48108","us_arb_htl_a_low2","180","us_arb_htl_a_low2_180"
"trial","survey","8","110273","0.0-2.0-6.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","18417","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":3,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Tsukishima 2nd Elementary School (jp_tok-c_sch_a_3)","ChIJHxLhHn2JGGARc3bs4ikCKls","35.660785","139.775206","JP","TOK","CTR","SCH","1-chōme-13-13-1 Kachidoki, Chuo City, Tokyo 104-0054, Japan","jp_tok-c_sch_b_3","270","jp_tok-c_sch_b_3_270"
"trial","survey","9","129366","0.0-2.0-7.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","19019","","{""P0_Q0"":null,""ambiguous"":4,""objects"":3,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Jonan Daini Elementary School","ChIJOzDZZm6KGGARfmI0vkKc_Kw","35.6154264","139.7461583","JP","TOK","PER","SCH","3-chōme-4-5 Higashishinagawa, Shinagawa City, Tokyo 140-0002, Japan","jp_tok-p_sch_a_5","90","jp_tok-p_sch_a_5_90"
"trial","survey","10","149309","0.0-2.0-8.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","19904","","{""P0_Q0"":null,""ambiguous"":4,""objects"":1,""invisible"":3,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Tokyo Marriott Hotel (jp_tok-p_htl_a_high1)","ChIJsyQuX16KGGARNJl4U-sZQG0","35.620812","139.7355647","JP","TOK","PER","HTL","Japan, 〒140-0001 Tokyo, Shinagawa City, Kitashinagawa, 4-chōme−6−１７ セレソ御殿山","jp_tok-p_htl_b_high1","0","jp_tok-p_htl_b_high1_0"
"trial","survey","11","163114","0.0-2.0-9.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","13719","","{""P0_Q0"":null,""ambiguous"":5,""objects"":4,""invisible"":5,""chaos"":5}","","","","","","","","","","","","","","","","","[]","Nearby location of Bunkyo Otsuka 3 Post Office (jp_tok-c_pos_a_7)","ChIJ8yJGd6-NGGARH10utNOusFo","35.7205268","139.7394333","JP","TOK","CTR","POS","3-chōme-35-1 Ōtsuka, Bunkyo City, Tokyo 112-0012, Japan","jp_tok-c_pos_b_7","90","jp_tok-c_pos_b_7_90"
"trial","survey","12","185252","0.0-2.0-10.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","22060","","{""P0_Q0"":null,""ambiguous"":3,""objects"":1,""invisible"":2,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Daiwa Roynet Hotel Tokyo-Osaki (jp_tok-p_htl_a_low2)","ChIJw8m7kPSKGGAREUfz_puYZs4","35.6168084","139.7277241","JP","TOK","PER","HTL","2-chōme-9-4 Ōsaki, Shinagawa City, Tokyo 141-0032, Japan","jp_tok-p_htl_b_low2","0","jp_tok-p_htl_b_low2_0"
"trial","survey","13","202273","0.0-2.0-11.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","16958","","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":2,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Mercer Hotel (us_nyc-c_htl_a_ultra2)","ChIJBQxsB49ZwokRbGyFLxfuImc","40.7247177","-73.9975539","US","NYC","CTR","HTL","570 Broadway, New York, NY 10012, USA","us_nyc-c_htl_b_ultra2","270","us_nyc-c_htl_b_ultra2_270"
"trial","survey","14","216347","0.0-2.0-12.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","14020","","{""P0_Q0"":null,""ambiguous"":1,""objects"":3,""invisible"":1,""chaos"":1}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJ7bddbC9ZwokRPh32cXCjIis","40.7414054","-74.0067214","US","NYC","CTR","POS","426A W 14th St, New York, NY 10014, USA","us_nyc-c_pos_a_8","180","us_nyc-c_pos_a_8_180"
"trial","survey","15","230079","0.0-2.0-13.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","13714","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":2,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Setagaya Okamoto Post Office","ChIJU6mt5gf0GGARS1eqIkjSKT4","35.6261891","139.6194159","JP","TOK","PER","POS","1-chōme-30-7 Okamoto, Setagaya City, Tokyo 157-0076, Japan","jp_tok-p_pos_a_1","270","jp_tok-p_pos_a_1_270"
"trial","survey","16","244704","0.0-2.0-14.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","14586","","{""P0_Q0"":null,""ambiguous"":3,""objects"":1,""invisible"":3,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Léman Manhattan Preparatory School","ChIJ1R3juBZawokRy34rGleDCJs","40.7060686","-74.0140159","US","NYC","CTR","SCH","1 Morris St, New York, NY 10004, USA","us_nyc-c_sch_a_8","270","us_nyc-c_sch_a_8_270"
"trial","survey","17","261391","0.0-2.0-15.0","60ff005a566dbbeff7dd5f6f","626166b218b78fee4e9d8d4d","626181fddf08c737adabb494","6","16633","","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":2,""chaos"":2}","","","","","","","","","","","","","","","","","[]","The Hoxton Williamsburg","WVNYC801","40.7207","-73.95876","US","NYC","PER","HTL","97 WYTHE AVENUE, NEW YORK, NY 11249","us_nyc-p_htl_a_high2","180","us_nyc-p_htl_a_high2_180"
